Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Pk_save%,PSxG,PSxG/SoT,PSxG+/-,/90,launch_cmp,launch_att,launch_cmp%,pass_att,Thr,launch_pass%,pass_avglen,Gk_att,Gk_launched%,Gk_avglen,Stp,Stp%,#OPA,#OPA/90,AvgDist
Juan Musso,ARG,GK,Atalanta,Serie A,27,1994,33,33,2932,32.6,42,1.29,119,80,67.2,16,8,8,8,24.2,4,3,0,0,37.5,0.3,-1.5,-0.05,147,348,42.2,744,170,27.4,31.3,208,69.2,49.7,28,9.1,39,1.2,16.5
Paul Nardi,FRA,GK,Lorient,Ligue 1,27,1994,22,22,1980,22,38,1.73,91,56,62.6,3,8,11,4,18.2,5,4,0,0,30.5,0.3,-4.5,-0.2,71,296,24,357,78,45.7,38.5,177,75.1,56,4,1.2,15,0.68,13.1
Keylor Navas,CRC,GK,Paris S-G,Ligue 1,34,1986,21,21,1856,20.6,18,0.87,78,60,79.5,11,6,2,7,33.3,2,2,0,0,18.3,0.21,0.3,0.01,23,58,39.7,415,100,11.3,24.5,132,8.3,22.2,5,2.1,20,0.97,16.3
Neto,BRA,GK,Barcelona,La Liga,32,1989,3,3,270,3,4,1.33,14,10,71.4,2,1,0,0,0,0,0,0,,4.1,0.29,0.1,0.02,17,34,50,106,18,28.3,31.6,24,16.7,29.2,0,0,4,1.33,18
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,35,1986,28,28,2510,27.9,26,0.93,89,63,71.9,22,3,2,10,35.7,1,1,0,0,23.9,0.26,-2.1,-0.07,110,223,49.3,1085,163,19,27.6,166,10.2,25.3,9,3.4,95,3.41,26.2
Alexander Nübel,GER,GK,Monaco,Ligue 1,24,1996,38,38,3420,38,40,1.05,141,104,77.3,20,9,9,11,28.9,9,8,0,0,41.5,0.24,4.5,0.12,160,415,38.6,839,173,31.9,32.5,280,52.5,42.5,23,5.4,46,1.21,17.2
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,28,1993,38,38,3420,38,43,1.13,106,65,66,21,8,9,12,31.6,8,7,1,12.5,32.4,0.23,-7.6,-0.2,170,598,28.4,810,155,49.9,39,283,68.6,48.6,27,5.7,29,0.76,13.8
Oier Olazábal,ESP,GK,Espanyol,La Liga,31,1989,2,1,135,1.5,1,0.67,9,8,100,0,0,1,1,100,1,1,0,0,2.4,0.15,1.4,0.91,9,27,33.3,33,5,51.5,40.8,10,100,57.2,3,10,0,0,3.7
Robin Olsen,SWE,GK,Aston Villa,Premier League,31,1990,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,,2.2,0.44,-0.8,-0.78,8,25,32,26,7,46.2,38.3,20,65,48.6,5,17.9,0,0,5.8
Jonas Omlin,SUI,GK,Montpellier,Ligue 1,27,1994,29,29,2587,28.7,41,1.43,158,117,75.9,10,4,13,8,27.6,4,3,1,25,44.2,0.26,4.2,0.15,134,332,40.4,808,179,27.4,30.3,262,42.4,37,37,7.9,27,0.94,13.5
Stefan Ortega,GER,GK,Arminia,Bundesliga,28,1992,33,33,2970,33,53,1.61,176,125,73.9,4,13,16,6,18.2,7,7,0,0,55.8,0.28,4.8,0.15,412,902,45.7,1448,91,49.6,39.2,317,58,46.9,11,2.1,46,1.39,18.6
David Ospina,COL,GK,Napoli,Serie A,32,1988,31,31,2790,31,25,0.81,106,82,77.4,19,6,6,13,41.9,1,1,0,0,27.6,0.26,3.6,0.12,73,193,37.8,842,124,20.7,28.6,135,14.1,22.5,18,5.1,31,1,17
Alexandre Oukidja,ALG,GK,Metz,Ligue 1,33,1988,21,21,1875,20.8,39,1.87,91,54,60.4,2,8,9,3,14.3,3,3,0,0,29.8,0.3,-7.2,-0.35,131,335,39.1,431,137,48,39.7,167,76.6,54.9,39,12.2,42,2.02,14.8
Jesús Owono,EQG,GK,Alavés,La Liga,20,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,,0.8,0.19,-0.2,-0.25,9,21,42.9,20,2,90,53.3,3,100,68.3,0,0,2,2,17.6
Fernando Pacheco,ESP,GK,Alavés,La Liga,29,1992,34,34,3053,33.9,60,1.77,148,85,62.8,8,5,21,5,14.7,8,5,3,37.5,51.8,0.31,-8.2,-0.24,331,693,47.8,721,85,64.2,44.5,308,74.7,50.6,24,4.4,43,1.27,15.7
Daniele Padelli,ITA,GK,Udinese,Serie A,35,1985,3,3,270,3,8,2.67,21,13,61.9,1,0,2,1,33.3,0,0,0,,7,0.33,-1,-0.34,12,42,28.6,89,19,34.8,29.6,22,50,40.9,1,1.8,2,0.67,13.2
Ivor Pandur,CRO,GK,Hellas Verona,Serie A,21,2000,3,3,270,3,6,2,15,9,66.7,1,0,2,0,0,1,1,0,0,5.7,0.33,-0.3,-0.1,15,26,57.7,53,9,34,33.1,15,53.3,37.1,1,4.5,1,0.33,11.3
Rui Patrício,POR,GK,Roma,Serie A,33,1988,38,38,3420,38,43,1.13,146,104,74,18,9,11,15,39.5,6,5,1,16.7,42.2,0.25,1.2,0.03,174,393,44.3,854,141,37.7,34.2,222,32,31.5,12,3.1,26,0.68,14.3
Gianluca Pegolo,ITA,GK,Sassuolo,Serie A,40,1981,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,,1.8,0.37,-1.2,-1.17,2,5,40,26,4,15.4,26.7,8,12.5,19.8,1,12.5,0,0,6
Philipp Pentke,GER,GK,Hoffenheim,Bundesliga,36,1985,1,1,90,1,3,3,7,4,57.1,1,0,0,0,0,0,0,0,,1.7,0.24,-1.3,-1.34,5,13,38.5,32,5,34.4,28.5,7,28.6,30.1,1,10,0,0,11.3
Juan Pérez,ESP,GK,Osasuna,La Liga,25,1996,2,2,180,2,3,1.5,4,2,25,0,1,1,0,0,0,0,0,,1.1,0.26,-0.9,-0.47,8,26,30.8,32,6,56.3,43.6,9,88.9,61.6,1,5.9,7,3.5,22
Mattia Perin,ITA,GK,Juventus,Serie A,28,1992,5,5,405,4.5,7,1.56,16,10,56.3,2,1,1,1,20,0,0,0,,5.4,0.35,-0.6,-0.14,13,34,38.2,108,17,25.9,29.6,26,23.1,29.2,1,1.3,4,0.89,12.6
Pavao Pervan,AUT,GK,Wolfsburg,Bundesliga,33,1987,6,6,540,6,14,2.33,38,25,65.8,1,0,5,1,16.7,1,1,0,0,11.3,0.27,-1.7,-0.29,18,58,31,158,31,31,31.8,49,18.4,26.4,2,2.1,7,1.17,13.6
Danijel Petković,MNE,GK,Angers,Ligue 1,28,1993,15,15,1350,15,22,1.47,65,45,69.2,3,3,9,2,13.3,2,2,0,0,19,0.27,-1,-0.07,39,126,31,333,93,22.8,29.8,120,41.7,37.1,15,7.6,16,1.07,13.2
Jordan Pickford,ENG,GK,Everton,Premier League,27,1994,35,35,3150,35,58,1.66,170,116,66.5,10,6,19,7,20,1,1,0,0,51.7,0.31,-2.3,-0.07,272,782,34.8,873,119,64.6,46.4,267,81.6,60.5,23,4.4,35,1,14.9
Carlo Pinsoglio,ITA,GK,Juventus,Serie A,31,1990,1,0,45,0.5,1,2,2,1,100,0,0,0,0,,1,1,0,0,1.1,0.08,0.1,0.29,1,1,100,10,0,10,29.6,1,0,37,0,0,0,0,
Julian Pollersbeck,GER,GK,Lyon,Ligue 1,26,1994,6,4,436,4.8,6,1.24,25,19,92,3,0,1,1,25,4,4,0,0,7.5,0.14,1.5,0.31,13,35,37.1,140,25,20,27.1,34,20.6,27,1,2.1,7,1.44,17.4
Nick Pope,ENG,GK,Burnley,Premier League,29,1992,36,36,3240,36,47,1.31,165,119,74.5,7,14,15,9,25,5,5,0,0,44.3,0.25,-1.7,-0.05,319,807,39.5,793,147,69.2,46.2,283,91.2,61.2,46,7.6,80,2.22,17.4
Gaëtan Poussin,FRA,GK,Bordeaux,Ligue 1,22,1999,13,13,1170,13,29,2.23,61,32,55.7,3,5,5,2,15.4,4,2,2,50,20.4,0.27,-6.6,-0.51,75,198,37.9,373,55,36.5,33.1,111,55.9,41,10,5.2,40,3.08,17.6
Alejandro Primo,ESP,GK,Levante,La Liga,17,2004,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,,0.8,0.41,-0.2,-0.18,2,6,33.3,17,0,29.4,31.2,8,12.5,20.9,0,0,0,0,15
Ivan Provedel,ITA,GK,Spezia,Serie A,27,1994,31,31,2761,30.7,52,1.7,165,116,73.9,9,5,16,7,22.6,11,9,0,0,47.6,0.24,-1.4,-0.04,206,616,33.4,957,133,47.8,40.1,229,69.4,51.7,28,5.9,25,0.81,11.8
Ionuț Radu,ROU,GK,Inter,Serie A,24,1997,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,,1.6,0.53,-0.4,-0.41,4,8,50,19,2,36.8,33.3,4,25,29.8,0,0,1,1,16
Boris Radunović,SRB,GK,Cagliari,Serie A,25,1996,3,3,270,3,5,1.67,17,11,76.5,0,2,1,1,33.3,2,1,1,50,6.4,0.26,1.4,0.46,22,62,35.5,72,10,54.2,41.5,28,82.1,51.1,1,2.4,1,0.33,13.8
Predrag Rajković,SRB,GK,Reims,Ligue 1,25,1995,38,38,3420,38,44,1.16,161,116,75.8,11,13,14,11,28.9,7,5,1,16.7,42.9,0.24,-1.1,-0.03,151,479,31.5,975,217,35.5,34.7,285,46.7,38.8,37,5.7,53,1.39,14.8
Diant Ramaj,GER,GK,Eint Frankfurt,Bundesliga,19,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,,1,0.25,0,-0.01,4,14,28.6,37,6,32.4,31.6,4,50,40,3,12.5,3,3,14.8
Aaron Ramsdale,ENG,GK,Arsenal,Premier League,23,1998,34,34,3060,34,39,1.15,128,90,73.4,21,3,10,12,35.3,6,5,0,0,38.2,0.26,0.2,0,134,480,27.9,993,162,34.8,33.2,181,74,55.1,26,6.3,60,1.76,16.4
Nicola Ravaglia,ITA,GK,Sampdoria,Serie A,32,1988,1,0,5,0.1,1,18,1,0,100,0,0,0,0,,1,1,0,0,1,0,0,-0.25,2,4,50,2,0,100,57,2,100,65.5,0,0,0,0,
David Raya,ESP,GK,Brentford,Premier League,25,1995,24,24,2160,24,27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,26.2,0.22,-0.8,-0.03,225,527,42.7,876,118,44.4,36.2,202,68.3,49.9,27,6.7,35,1.46,15.8
Manolo Reina,ESP,GK,Mallorca,La Liga,36,1985,21,21,1890,21,26,1.24,75,49,68,6,9,6,8,38.1,3,2,1,33.3,27.2,0.32,2.2,0.11,140,357,39.2,453,67,53.9,40.5,188,60.1,43.9,14,4.2,9,0.43,11.6
Pepe Reina,ESP,GK,Lazio,Serie A,38,1982,15,15,1350,15,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,0,23.7,0.33,-5.3,-0.36,66,133,49.6,429,73,24.2,29.8,99,29.3,30.1,10,5.4,10,0.67,13.7
Álex Remiro,ESP,GK,Real Sociedad,La Liga,26,1995,35,35,3150,35,32,0.91,112,79,75,15,11,9,19,54.3,5,4,1,20,31.4,0.24,-0.6,-0.02,195,466,41.8,1015,125,32.6,32.9,241,56,45.1,18,3.9,48,1.37,16.4
Sergio Rico,ESP,GK,Mallorca,La Liga,27,1993,14,14,1260,14,29,2.07,57,29,54.4,4,0,10,1,7.1,4,3,1,25,21.4,0.31,-5.6,-0.4,94,201,46.8,270,50,52.2,39.4,90,66.7,48.4,2,1,5,0.36,12.6
Sergio Rico,ESP,GK,Paris S-G,Ligue 1,27,1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,,0.2,0.06,-0.8,-3.23,0,1,0,7,1,14.3,31.4,0,,,0,0,2,7.83,23.5
Manuel Riemann,GER,GK,Bochum,Bundesliga,32,1988,31,31,2790,31,45,1.45,155,112,72.9,10,6,15,7,22.6,6,3,2,40,42.3,0.26,1.3,0.04,479,1040,46.1,1398,102,62.4,43.8,246,67.9,48.5,27,6.5,72,2.32,19.6
Leonardo Román,ESP,GK,Mallorca,La Liga,21,2000,2,2,180,2,5,2.5,14,10,71.4,0,0,2,0,0,1,1,0,0,3.6,0.17,-0.4,-0.18,9,27,33.3,51,7,39.2,34.2,16,43.8,36.6,1,2.8,5,2.5,18.9
Sergio Romero,ARG,GK,Venezia,Serie A,34,1987,16,16,1440,16,33,2.06,105,74,74.3,3,4,9,3,18.8,6,6,0,0,30.6,0.24,-0.4,-0.03,90,236,38.1,443,100,38.6,34.6,142,45.8,38.8,14,5.3,11,0.69,11.8
Francesco Rossi,ITA,GK,Atalanta,Serie A,30,1991,1,0,37,0.4,1,2.43,2,1,50,0,0,0,0,,0,0,0,,1,0.52,0,0.11,2,6,33.3,12,0,41.7,37.8,4,25,39.3,0,0,0,0,18
John Ruddy,ENG,GK,Wolves,Premier League,34,1986,2,1,135,1.5,3,2,7,4,57.1,0,1,0,0,0,0,0,0,,2.9,0.42,-0.1,-0.05,1,11,9.1,19,4,42.1,36.1,14,21.4,28.5,1,7.7,1,0.67,14.2
Gerónimo Rulli,ARG,GK,Villarreal,La Liga,29,1992,32,32,2880,32,28,0.87,100,72,75,14,9,9,14,43.8,4,3,1,25,28.2,0.25,1.2,0.04,131,333,39.3,1073,161,23.1,29.7,214,39.7,37.4,22,4.6,52,1.63,16.5
Mathew Ryan,AUS,GK,Real Sociedad,La Liga,29,1992,3,3,270,3,5,1.67,15,10,73.3,2,0,1,1,33.3,1,1,0,0,4.1,0.21,-0.9,-0.31,16,55,29.1,88,14,47.7,39.4,19,68.4,46.6,3,5.3,3,1,13.7
Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,28,1992,7,7,630,7,5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,,3.4,0.19,-0.6,-0.09,43,122,35.2,213,28,45.1,36.3,43,60.5,45.2,11,13.3,3,0.43,10.2
José Sá,POR,GK,Wolves,Premier League,28,1993,37,37,3285,36.5,40,1.1,160,121,80.6,15,5,16,11,29.7,10,9,0,0,46.3,0.24,7.3,0.2,121,412,29.4,844,216,35.4,34.7,261,43.3,36.9,43,7.8,40,1.1,13.3
Romain Salin,FRA,GK,Rennes,Ligue 1,37,1984,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,,1.5,0.49,-0.5,-0.53,4,7,57.1,30,8,23.3,31.2,3,0,14.3,0,0,1,1,21.5
Robert Sánchez,ESP,GK,Brighton,Premier League,23,1997,37,37,3329,37,42,1.14,141,99,72.3,12,14,10,11,29.7,4,3,0,0,40.9,0.28,-1.1,-0.03,158,561,28.2,1285,186,31.9,33,234,64.5,48.9,60,11.6,36,0.97,12.9
Giacomo Satalino,ITA,GK,Sassuolo,Serie A,22,1999,1,0,8,0.1,0,0,1,1,100,0,0,0,0,,0,0,0,,0.8,0.76,0.8,7.56,0,0,,0,0,,,1,0,22,0,0,0,0,
Kasper Schmeichel,DEN,GK,Leicester City,Premier League,34,1986,37,37,3330,37,58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,22.2,55.5,0.26,-1.5,-0.04,194,486,39.9,999,166,36,34.1,291,43.3,37.5,15,2.8,38,1.03,14.8
Marvin Schwäbe,GER,GK,Köln,Bundesliga,26,1995,21,21,1890,21,28,1.33,98,70,71.4,10,4,7,3,14.3,1,0,1,100,31.4,0.31,4.4,0.21,107,251,42.6,854,88,23.5,28.8,144,34.7,35.2,9,3.2,15,0.71,13.6
Alexander Schwolow,GER,GK,Hertha BSC,Bundesliga,29,1992,25,25,2175,24.2,51,2.11,123,72,62.6,7,5,12,4,16,5,5,0,0,42.2,0.31,-8.8,-0.36,126,333,37.8,621,125,32.9,33,204,63.2,48.2,17,4.2,32,1.32,15
Matz Sels,BEL,GK,Strasbourg,Ligue 1,29,1992,37,37,3330,37,43,1.16,130,88,70,16,12,9,13,35.1,4,4,0,0,35,0.24,-7,-0.19,164,401,40.9,718,145,39.1,34.3,239,50.2,40.6,13,2.7,39,1.05,13.7
Adrian Šemper,CRO,GK,Genoa,Serie A,23,1998,1,1,90,1,1,1,4,3,75,0,0,1,0,0,0,0,0,,0.9,0.28,-0.1,-0.06,6,21,28.6,30,3,50,38.5,7,85.7,52,2,14.3,0,0,11.2
Luigi Sepe,ITA,GK,Salernitana,Serie A,30,1991,16,16,1392,15.5,24,1.55,78,54,73.1,2,8,4,1,6.3,3,3,0,0,24.6,0.28,0.6,0.04,166,320,51.9,433,45,54.7,40.8,130,63.8,46.4,10,4.3,13,0.84,16
Rui Silva,POR,GK,Betis,La Liga,27,1994,22,21,1964,21.8,21,0.96,76,55,75,11,4,6,8,38.1,2,2,0,0,20.5,0.24,-0.5,-0.02,92,275,33.5,557,104,33.8,33.1,176,49.4,41.6,18,5.3,32,1.47,15.7
Marco Silvestri,ITA,GK,Udinese,Serie A,30,1991,35,35,3150,35,50,1.43,141,92,68.1,10,14,11,7,20,7,5,0,0,45.5,0.29,-3.5,-0.1,167,430,38.8,677,106,46.1,36.7,252,46.8,38.4,16,3.5,10,0.29,11
Unai Simón,ESP,GK,Athletic Club,La Liga,24,1997,34,34,3060,34,31,0.91,111,81,74.8,13,11,10,12,35.3,3,3,0,0,31.9,0.26,1.9,0.06,145,371,39.1,692,189,35.5,33.8,243,51.4,42.3,29,5.5,35,1.03,15.2
Tobias Sippel,GER,GK,M'Gladbach,Bundesliga,33,1988,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,,0.4,0.12,-0.6,-0.64,6,13,46.2,41,4,24.4,29.5,6,50,51.8,0,0,0,0,8
Salvatore Sirigu,ITA,GK,Genoa,Serie A,34,1987,37,37,3330,37,59,1.59,180,122,69.4,4,16,17,10,27,5,4,1,20,50.6,0.26,-6.4,-0.17,257,605,42.5,916,100,46.3,36.6,263,68.8,45.9,14,2.9,20,0.54,12.9
Antonio Sivera,ESP,GK,Alavés,La Liga,24,1996,4,3,277,3.1,4,1.3,16,12,81.3,0,1,2,1,33.3,1,1,0,0,5.9,0.31,1.9,0.62,29,69,42,67,9,61.2,44.9,40,70,51.5,2,3,3,0.97,14.6
Łukasz Skorupski,POL,GK,Bologna,Serie A,30,1991,36,36,3240,36,53,1.47,174,122,74.1,11,9,16,12,33.3,9,8,1,11.1,53.3,0.26,2.3,0.06,193,459,42,956,164,39.1,34,294,28.9,26.6,27,5.4,14,0.39,11.3
Yann Sommer,SUI,GK,M'Gladbach,Bundesliga,32,1988,33,33,2970,33,60,1.82,182,120,68.7,12,8,13,5,15.2,5,3,2,40,57.9,0.3,-2.1,-0.06,148,452,32.7,1239,167,29.1,31.3,224,40.6,37.6,19,4.2,54,1.64,16.3
David Soria,ESP,GK,Getafe,La Liga,28,1993,38,38,3414,37.9,41,1.08,132,91,70.5,7,15,15,13,34.2,4,2,1,33.3,40.9,0.29,0.9,0.02,366,863,42.4,888,101,69.4,46.6,292,84.6,54.1,25,4.4,45,1.19,15
Marco Sportiello,ITA,GK,Atalanta,Serie A,29,1992,5,5,450,5,5,1,18,13,83.3,0,3,2,2,40,2,2,0,0,5.6,0.2,0.6,0.12,8,33,24.2,107,33,14,26,28,64.3,47,1,2.2,4,0.8,13.9
Jason Steele,ENG,GK,Brighton,Premier League,30,1990,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,,1.6,0.33,-0.4,-0.37,2,6,33.3,32,2,9.4,23.9,6,50,40,0,0,0,0,9.3
Jed Steer,ENG,GK,Aston Villa,Premier League,28,1992,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,,2.2,0.55,-0.8,-0.81,3,11,27.3,32,7,28.1,30.4,6,33.3,31.2,1,9.1,1,1,16.3
Zack Steffen,USA,GK,Manchester City,Premier League,26,1995,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,,0.1,0.07,0.1,0.15,1,6,16.7,32,6,15.6,23.4,7,14.3,19.3,0,0,3,3,16.6
Thomas Strakosha,ALB,GK,Lazio,Serie A,26,1995,23,23,2070,23,29,1.26,86,58,67.4,12,6,5,7,30.4,1,1,0,0,28.6,0.32,0.6,0.03,79,161,49.1,618,92,22.2,28.5,119,20.2,23.6,11,3.9,16,0.7,14.5
Wojciech Szczęsny,POL,GK,Juventus,Serie A,31,1990,33,33,2970,33,29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,50,30.6,0.24,1.6,0.05,124,273,45.4,836,159,26.6,30.8,172,29.7,31.5,24,5,25,0.76,13.5
Ciprian Tătărușanu,ROU,GK,Milan,Serie A,35,1986,6,6,540,6,10,1.67,24,14,66.7,4,1,1,1,16.7,3,2,1,33.3,8.9,0.25,-0.1,-0.02,33,74,44.6,168,14,36.3,33.3,36,36.1,35,6,7.3,3,0.5,12.5
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,29,1992,35,35,3150,35,34,0.97,109,74,70.6,19,9,7,11,31.4,3,2,1,33.3,30.1,0.26,-3.9,-0.11,130,255,51,1072,147,17.6,26.9,205,32.2,33.9,15,4.4,34,0.97,15.3
Pietro Terracciano,ITA,GK,Fiorentina,Serie A,31,1990,32,31,2862,31.8,43,1.35,100,58,59,16,5,10,9,29,3,2,1,33.3,31.6,0.29,-9.4,-0.29,197,464,42.5,1356,141,29.8,32.2,170,35.3,33.7,22,7.6,51,1.6,16.7
Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,31,1990,32,32,2880,32,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,50.8,0.3,5.8,0.18,157,539,29.1,1001,146,41.8,34.6,250,48.4,42.6,19,4.5,43,1.34,16.4
Philipp Tschauner,GER,GK,RB Leipzig,Bundesliga,35,1985,1,0,3,0,0,0,0,0,,0,0,0,1,,0,0,0,,0,,0,0,1,2,50,5,0,40,36.4,0,,,0,,0,0,
Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,32,1988,6,6,540,6,11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,8.7,0.34,-1.3,-0.22,10,32,31.3,197,31,14.2,25.2,38,10.5,20.2,3,5.6,10,1.67,19.2
Benjamin Uphoff,GER,GK,Freiburg,Bundesliga,27,1993,2,2,180,2,7,3.5,12,5,41.7,0,1,1,0,0,0,0,0,,3,0.25,-4,-2.01,22,51,43.1,70,14,44.3,34.4,20,100,63.2,4,11.8,1,0.5,6.3
Rúben Vezo,POR,DF,Levante,La Liga,27,1994,1,1,4,26.9,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,2,4,50,3,0,100,57,1,100,65,0,0,0,0,
Guglielmo Vicario,ITA,GK,Empoli,Serie A,24,1996,38,38,3420,38,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,28.6,65.2,0.28,1.2,0.03,133,386,34.5,1066,215,26.2,29.5,257,41.6,37.5,35,5.8,38,1,13.9
Danny Ward,WAL,GK,Leicester City,Premier League,28,1993,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,,1.4,0.28,0.4,0.42,2,5,40,26,8,19.2,25.8,7,0,19.3,1,5.6,1,1,10.7
Freddie Woodman,ENG,GK,Newcastle Utd,Premier League,24,1997,4,4,360,4,12,3,22,9,54.5,0,1,3,0,0,3,2,1,33.3,8.8,0.29,-3.2,-0.8,23,66,34.8,79,11,50.6,38.1,39,66.7,47.9,3,5.5,0,0,7.8
Robin Zentner,GER,GK,Mainz 05,Bundesliga,26,1994,32,32,2880,32,42,1.31,120,78,68.3,12,6,14,10,31.3,5,4,1,20,39,0.29,-2,-0.06,119,389,30.6,766,166,36.9,34.4,236,44.9,39.4,29,6.9,68,2.13,17.9
Luca Zidane,FRA,GK,Rayo Vallecano,La Liga,23,1998,8,8,645,7.2,13,1.81,37,24,64.9,0,1,6,0,0,0,0,0,,12,0.33,-1,-0.14,42,94,44.7,178,42,36,34.6,53,56.6,46.6,9,10,6,0.84,11
Jeroen Zoet,NED,GK,Spezia,Serie A,30,1991,7,7,630,7,19,2.71,43,23,58.1,1,1,5,0,0,2,1,1,50,13.1,0.26,-5.9,-0.84,20,69,29,182,41,26.9,30.7,54,37,37.4,2,2.1,6,0.86,16.4
Petar Zovko,BIH,GK,Spezia,Serie A,19,2002,1,0,29,0.3,0,0,0,0,,0,0,0,0,,0,0,0,,0,,0,0,1,4,25,8,3,37.5,35.9,2,50,35,0,0,2,6.21,28.5
