Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Pk_save%,PSxG,PSxG/SoT,PSxG+/-,/90,launch_cmp,launch_att,launch_cmp%,pass_att,Thr,launch_pass%,pass_avglen,Gk_att,Gk_launched%,Gk_avglen,Stp,Stp%,#OPA,#OPA/90,AvgDist
Jens Grahl,GER,GK,Eint Frankfurt,Bundesliga,32,1988,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,,0.7,0.16,-1.3,-1.35,1,4,25,18,5,0,21.9,11,36.4,36.8,1,10,0,0,10.8
Ivo Grbić,CRO,GK,Lille,Ligue 1,25,1996,21,21,1890,21,28,1.33,85,58,69.4,8,7,6,2,9.5,2,2,0,0,23.2,0.25,-3.8,-0.18,97,267,36.3,419,87,41.5,35.2,166,56,43.5,16,5.2,13,0.62,11.7
Etienne Green,ENG,GK,Saint-Étienne,Ligue 1,21,2000,15,15,1197,13.3,27,2.03,67,42,61.2,2,5,5,1,6.7,1,1,0,0,23.9,0.34,-1.1,-0.08,64,166,38.6,290,64,34.8,34.4,110,59.1,46.6,6,3.5,14,1.05,14.1
Dominik Greif,SVK,GK,Mallorca,La Liga,24,1997,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,,1.5,0.24,-1.5,-1.53,1,10,10,21,6,33.3,34.1,10,30,32.7,0,0,1,1,12.5
Lennart Grill,GER,GK,Leverkusen,Bundesliga,22,1999,1,1,90,1,2,2,6,5,66.7,1,0,0,0,0,0,0,0,,1.8,0.31,0.8,0.84,5,17,29.4,37,7,29.7,28.5,10,60,43.8,0,0,0,0,12
Vicente Guaita,ESP,GK,Crystal Palace,Premier League,34,1987,30,30,2655,29.5,33,1.12,116,83,74.1,9,11,9,11,36.7,3,3,0,0,28.8,0.23,-4.2,-0.14,105,282,37.2,778,182,26.6,28.3,201,37.3,31.5,17,4.4,36,1.22,16.3
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,31,1990,33,33,2967,33,34,1.03,111,78,72.1,16,7,9,9,27.3,3,3,0,0,31.9,0.27,-1.1,-0.03,117,310,37.7,976,162,24.9,29.5,198,33.8,33.1,14,4,61,1.85,20.6
Angus Gunn,ENG,GK,Norwich City,Premier League,25,1996,9,9,810,9,22,2.44,57,34,64.9,1,2,6,1,11.1,4,2,1,33.3,19.3,0.3,-2.7,-0.3,45,129,34.9,219,47,43.4,34.5,86,39.5,34.5,3,1.7,14,1.56,17.3
Samir Handanović,SVN,GK,Inter,Serie A,37,1984,37,37,3330,37,30,0.81,124,95,79,25,9,3,15,40.5,4,4,0,0,33.2,0.24,4.2,0.11,139,301,46.2,1118,176,24.3,28.1,142,20.4,26.5,15,3.8,10,0.27,11.2
Wayne Hennessey,WAL,GK,Burnley,Premier League,34,1987,2,2,180,2,6,3,13,8,53.8,0,0,2,0,0,0,0,0,,3.2,0.26,-1.8,-0.91,27,63,42.9,57,7,77.2,50.8,21,90.5,63.6,0,0,4,2,17
Sergio Herrera,ESP,GK,Osasuna,La Liga,28,1993,36,36,3240,36,48,1.33,147,97,70.1,12,10,14,12,33.3,7,4,3,42.9,48.1,0.29,1.1,0.03,388,850,45.6,852,78,69,46.5,306,85.6,58.5,23,4.3,64,1.78,18.1
Marwin Hitz,SUI,GK,Dortmund,Bundesliga,33,1987,5,4,405,4.5,12,2.67,25,13,60,1,0,3,0,0,2,2,0,0,8.6,0.27,-3.4,-0.76,16,32,50,147,31,18.4,27.7,30,16.7,28.2,3,5.6,9,2,20.6
Timo Horn,GER,GK,Köln,Bundesliga,28,1993,13,13,1170,13,21,1.62,56,36,62.5,4,6,3,1,7.7,0,0,0,,19.7,0.36,-0.3,-0.02,67,166,40.4,438,47,32.2,33.1,81,30.9,33.4,4,2.7,19,1.46,17.4
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,31,1989,32,32,2880,32,44,1.37,154,109,72.7,17,7,8,8,25,4,2,1,33.3,41.9,0.26,-2.1,-0.07,130,381,34.1,1050,173,27.8,30.6,209,42.6,37.4,17,4.4,45,1.41,17.5
